date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2012-04-02,20926515.200000003,57185,435.6306,92.593617,573.6193,9732.935,29101.048,24.376714285714286,530.3367142857143,110.81168571428573,252.12337142857146,1075.9155714285714,101.3,103.0,100.4,361.6,57872
2012-04-09,19332582.400000002,53987,419.6935,93.093644,538.037,9638.826000000001,28916.905,26.86832857142857,819.914,108.12337142857143,231.9999857142857,864.3895857142858,101.3,103.0,100.4,361.6,53464
2012-04-16,18354816.0,51913,428.359,92.522677,566.109,9615.616,29074.19,9.284085714285714,1267.937142857143,104.51948571428571,251.5324571428571,992.1168714285715,101.3,103.0,100.4,361.6,50760
2012-04-23,12886700.8,46935,384.6264,89.511572,536.0,9357.1978,26788.858,52.77198571428572,1107.9022857142857,142.01950000000002,249.22078571428574,1748.0844,101.3,105.3,100.4,361.6,35638
2012-04-30,12552220.8,36331,296.8015,74.397791,548.6514999999999,7806.0818,28525.096,47.8851,1192.852,365.53895714285716,266.6363714285714,1302.9675285714286,101.3,105.3,100.4,361.6,34713
2012-05-07,13601945.600000001,40117,298.2388,75.352424,557.4213,7858.2861,28462.571,48.947,1119.000942857143,223.71080000000003,420.8210857142857,1812.1039142857142,101.3,105.3,100.4,361.6,37616
2012-05-14,15554947.200000001,39907,306.45529999999997,77.23497,563.9019000000001,8013.0851,18303.728000000003,31.506571428571426,589.5083714285714,141.18624285714284,397.40195714285716,1157.1688285714285,101.3,105.3,99.5,361.6,43017
2012-05-21,11169824.0,36041,283.562,78.960758,517.843,8131.9115,19751.939000000002,19.810642857142856,90.59887142857143,153.37932857142854,339.23857142857145,1257.1039,101.3,105.3,99.5,361.6,30890
2012-05-28,12772435.200000001,31233,487.1639,91.416368,717.5279,9527.0548,8424.441,16.5201,92.70858571428572,104.40708571428571,300.4337571428572,830.7337571428571,101.3,105.3,99.5,361.6,35322
2012-06-04,16051062.4,34563,544.9782,92.398715,723.4597,9739.1278,4367.618,18.0816,99.21342857142858,115.15584285714286,302.07791428571426,812.2142714285714,101.3,105.3,99.5,361.6,44389
2012-06-11,13762134.4,40610,482.0336,92.484715,694.7256,9756.6774,13645.429,32.41692857142857,121.846,114.48701428571428,277.42855714285713,927.8636428571428,101.3,105.3,99.5,361.6,38059
